,uniY,uniX,population,exhaust,stepWeight,weightLostByStep,lostEachEpoch,lostPower,score,univ
0,100,177,3739,5875,250,9,6,9,0,<univers.univers object at 0x7fa1243a71d0>
0,100,177,1101,3349,225,1,7,5,0,<univers.univers object at 0x7fa1244595f8>
0,100,177,73,5642,186,9,8,7,0,<univers.univers object at 0x7fa124459c88>
0,100,177,2221,1018,169,7,6,8,0,<univers.univers object at 0x7fa124459908>
0,100,177,3280,1782,246,7,6,5,0,<univers.univers object at 0x7fa1243a74a8>
0,100,177,2756,6076,177,7,6,1,0,<univers.univers object at 0x7fa124459d68>
0,100,177,599,4000,249,3,5,6,0,<univers.univers object at 0x7fa124459ac8>
0,100,177,6,5218,136,5,3,7,0,<univers.univers object at 0x7fa1243a7630>
0,100,177,4344,1687,104,8,3,3,0,<univers.univers object at 0x7fa1270f1518>
0,100,177,448,7300,98,1,8,3,0,<univers.univers object at 0x7fa124449780>
0,100,177,4800,7808,201,7,8,8,0,<univers.univers object at 0x7fa1244590b8>
0,100,177,2851,6152,168,4,2,1,0,<univers.univers object at 0x7fa1243a7cf8>
0,100,177,3636,8621,203,9,7,7,0,<univers.univers object at 0x7fa12433fc50>
0,100,177,589,8695,233,6,2,2,0,<univers.univers object at 0x7fa1275dbd68>
0,100,177,2061,8862,149,1,7,8,0,<univers.univers object at 0x7fa12433f1d0>
0,100,177,385,7780,242,1,5,8,0,<univers.univers object at 0x7fa12433f630>
0,100,177,4361,3541,168,2,3,2,0,<univers.univers object at 0x7fa12433f320>
0,100,177,2098,7038,120,5,1,5,0,<univers.univers object at 0x7fa12432b748>
0,100,177,3513,7059,176,8,7,7,0,<univers.univers object at 0x7fa12433fb38>
0,100,177,90,9651,235,6,5,6,0,<univers.univers object at 0x7fa12433f438>
0,100,177,4630,2598,144,7,7,3,0,<univers.univers object at 0x7fa1243aaf98>
0,100,177,3042,2574,108,2,2,4,0,<univers.univers object at 0x7fa12433fb70>
0,100,177,3038,6254,199,7,4,3,0,<univers.univers object at 0x7fa12433f0b8>
0,100,177,1169,5291,36,6,8,8,0,<univers.univers object at 0x7fa1243aaa20>
0,100,177,1996,2839,167,8,5,9,0,<univers.univers object at 0x7fa12432b550>
0,100,177,4734,7421,33,5,3,1,0,<univers.univers object at 0x7fa124394eb8>
0,100,177,3096,8497,196,7,2,6,0,<univers.univers object at 0x7fa124327860>
0,100,177,25,2403,249,8,7,3,0,<univers.univers object at 0x7fa12437dba8>
0,100,177,4833,3403,58,7,5,6,0,<univers.univers object at 0x7fa12420f3c8>
0,100,177,4853,7678,65,4,5,7,0,<univers.univers object at 0x7fa12422d780>
0,100,177,1487,8401,191,7,8,8,0,<univers.univers object at 0x7fa12420f1d0>
0,100,177,4377,4101,176,6,7,3,0,<univers.univers object at 0x7fa1241d82b0>
0,100,177,986,8706,202,5,5,3,0,<univers.univers object at 0x7fa1241907b8>
0,100,177,3868,1674,109,1,9,2,0,<univers.univers object at 0x7fa124190438>
0,100,177,4100,5926,43,8,9,3,0,<univers.univers object at 0x7fa1243860b8>
0,100,177,1831,7808,10,1,4,2,0,<univers.univers object at 0x7fa1243aed30>
0,100,177,2495,5614,123,6,2,4,0,<univers.univers object at 0x7fa1243869e8>
0,100,177,4116,7733,84,9,1,4,0,<univers.univers object at 0x7fa1241901d0>
0,100,177,711,2829,197,4,2,8,0,<univers.univers object at 0x7fa12435ca90>
0,100,177,1409,5823,80,9,6,8,0,<univers.univers object at 0x7fa12435c588>
0,100,177,2549,7244,85,1,5,2,0,<univers.univers object at 0x7fa1243c8278>
0,100,177,2313,6201,180,3,9,9,0,<univers.univers object at 0x7fa12437d5c0>
0,100,177,1639,2372,240,1,1,2,0,<univers.univers object at 0x7fa124345b38>
0,100,177,3214,2886,112,3,7,8,0,<univers.univers object at 0x7fa124386860>
0,100,177,332,8991,88,4,4,3,0,<univers.univers object at 0x7fa1241d8240>
0,100,177,4262,9047,64,8,6,2,0,<univers.univers object at 0x7fa1243ae550>
0,100,177,2467,7970,190,4,4,2,0,<univers.univers object at 0x7fa124190f98>
0,100,177,2904,2180,76,9,4,7,0,<univers.univers object at 0x7fa124190b38>
0,100,177,3130,4840,151,7,6,9,0,<univers.univers object at 0x7fa124278f60>
0,100,177,2629,7155,124,4,1,2,0,<univers.univers object at 0x7fa12422d668>
0,100,177,1163,1413,219,6,5,1,0,<univers.univers object at 0x7fa124190160>
0,100,177,3068,9243,27,3,3,2,0,<univers.univers object at 0x7fa1241907f0>
0,100,177,3679,7665,83,2,6,1,0,<univers.univers object at 0x7fa12437d3c8>
0,100,177,2072,1151,238,8,3,5,0,<univers.univers object at 0x7fa1243277b8>
0,100,177,751,5957,182,7,8,3,0,<univers.univers object at 0x7fa124386278>
0,100,177,4288,3790,237,7,8,9,0,<univers.univers object at 0x7fa12437d940>
0,100,177,3494,6728,77,7,3,2,0,<univers.univers object at 0x7fa1243455c0>
